Label,Centroid_X,Centroid_Y,Theta,Percent_Filled,BoundingBox_Ratio
watch,266.181,283.136,-0.0494508,14736.8,6.96582
watch,265.389,283.422,-0.0498373,14667.9,6.95113
watch,266.173,283.473,-0.0498315,14756.3,6.94326
watch,265.811,283.399,-0.0495664,14680.2,6.93096
watch,265.673,284.235,-0.050307,14670.8,6.932
watch,267.308,284.181,-0.0507252,14623.6,6.83048
watch,266.43,283.542,-0.0503309,14623.8,6.87032
watch,58.2669,263.009,1.49444,14065.1,2.37129
watch,567.622,441.319,0.495479,11514.5,0.514448
watch,374.227,465.387,0.0441469,12943.9,0.215311
watch,634.784,407.137,-1.40587,10024.5,1.15603
watch,173.267,438.634,1.06793,11178.4,0.5625
watch,284.06,361.457,0.0501482,14825.2,0.449856
watch,278.299,283.038,0.0861868,15182.6,0.448845
watch,296.248,191.335,0.0299569,14898.1,0.451538
watch,341.5,207.781,0.0600584,15042.6,0.435492
watch,336.684,191.698,0.0439676,14994,0.438273
watch,338.514,196.256,0.0694036,15089.8,0.436439
watch,338.758,197.41,0.070572,15050.7,0.436468
watch,338.839,197.259,0.071443,15111,0.432593
watch,338.643,196.74,0.0690881,14994.7,0.435698
watch,359.37,173.203,0.230844,15132,0.438906
watch,353.002,153.696,0.441606,15182.1,0.438716
watch,351.276,147.595,0.437423,15065.5,0.442749
watch,407.32,189.769,0.70883,15466.8,0.425821
watch,391.012,182.005,0.93208,15263.5,0.429507
watch,391.66,183.499,0.93485,15383.9,0.433143
watch,388.553,173.506,0.923811,15211,0.436444
watch,390.851,173.133,0.92632,15275.2,0.438733
watch,365.948,141.191,1.39709,16246.7,1.81202
watch,372.784,168.529,1.45313,15663.3,2.0137
watch,370.457,165.213,1.44946,15491.1,2.03391
watch,377.777,167.48,1.45295,15280.7,2.10916
watch,388.363,182.37,-0.977165,14891.3,2.22738
watch,387.022,178.668,-0.973491,14725.9,2.22027
watch,386.77,177.055,-0.971036,14611.6,2.2078
watch,390.572,177.828,-0.976093,14863.3,2.23901
watch,328.811,179.659,-0.41161,14639.8,2.1261
watch,367.069,197.491,-0.415045,14619.4,2.11042
watch,362.334,190.204,-0.38669,14759.3,2.11274
watch,260.538,175.525,0.08886,15108.9,0.427505
watch,256.051,173.662,0.0739322,15007.7,2.21986
watch,256.045,174.899,0.0759014,15129.4,0.432246
watch,254.353,174.908,0.0681001,14993.6,0.435411
watch,265.404,176.472,0.110856,15785.5,2.27344
watch,225.733,130.474,0.703732,14550.3,0.435206
watch,251.085,131.743,0.766195,14851,0.408139
watch,246.989,134.52,0.75361,14521.3,0.41946
watch,249.423,136.524,0.758754,14918.1,0.412718
watch,231.773,129.53,0.716961,14926.1,0.432727
watch,265.216,250.829,1.18581,14874.6,0.460974
watch,267.94,232.835,1.19165,14827.1,0.457057
watch,235.028,240.301,1.14105,15310,0.493741
watch,297.455,272.328,1.15522,14806.5,0.459142
watch,284.081,267.456,1.15155,14811.4,0.45812
watch,288.691,247.825,1.1822,14965.4,0.446227
watch,280.998,266.013,1.51363,14874.6,2.22395
watch,324.366,266.082,-0.897154,14890.8,2.38898
watch,239.849,205.815,-0.316896,15035.9,2.21511
watch,291.83,176.496,0.383249,14993.8,0.426041
watch,310.773,232.005,0.666249,15261.9,0.408018
watch,346.354,240.454,0.718486,15143.7,0.396491
watch,357.228,234.836,0.75024,15613.1,0.388243
watch,313.315,279.162,-0.797769,14868.7,2.29771
watch,297.885,306.484,0.82921,15159.6,0.470984
watch,489.466,212.261,1.4081,13983.1,1.07883
watch,116.554,12.8311,0.0341724,8846.15,0.366071
watch,364.344,367.406,-0.775959,15422.1,2.39025
watch,190.82,225.753,-0.94571,15327.4,2.30476
watch,141.705,231.154,-1.50661,15771.1,2.18103
watch,212.021,232.001,1.41476,15152.2,0.445291
watch,244.277,200.518,0.889229,14853.6,0.44272
watch,252.355,175.14,0.86121,14635.4,0.453395
watch,270.283,173.054,0.819114,14735.8,0.417083
watch,259.018,179.914,0.809229,14879.4,0.416076
watch,327.288,193.932,-1.21402,14963,2.41991
watch,401.36,350.539,0.214033,15740.5,0.447759
watch,213.603,169.698,-1.16799,15032.9,2.22039
watch,154.89,278.463,-0.830181,15029.4,2.0127
watch,162.526,269.669,-0.833945,15063.4,2.02513
watch,165.18,268.494,-0.833959,15025.5,2.05155
watch,162.281,270.948,-0.843578,15228.7,2.02513
watch,162.173,270.988,-0.842331,15154,2.02708
